source_type,title,url,published_at,summary,raw_text,topic_names
governor_press,令和7年2月4日 知事定例記者会見,https://www.pref.saga.lg.jp/chiji/kiji003111682/index.html,2025-02-04,"令和6年度2月補正予算案と令和7年度当初予算案を説明","発表項目: 令和6年度2月補正予算案 / 令和7年度当初予算案","当初予算|補正予算"
budget_brief,令和7年度当初予算についてお知らせします,https://www.pref.saga.lg.jp/kiji003111639/index.html,2025-02-07,"令和7年度当初予算は「人を大切に、世界に誇れる佐賀づくり」を基本理念に編成","令和7年度当初予算については、「人を大切に、世界に誇れる佐賀づくり」を基本理念に、本県の飛躍のため、時代に即した施策を時機を逃さず実施する予算を編成しました。","人を大切に|世界に誇れる佐賀づくり|当初予算"
governor_press,令和7年5月27日 知事定例記者会見,https://www.pref.saga.lg.jp/chiji/kiji003113241/index.html,2025-05-27,"健康づくり、スポーツ、人材雇用、文化観光のテーマを発表","発表項目: 健康を守る“一手”は「歩」 / 新たなステージへ SAGAスポーツピラミッド構想 / さが外国人材雇用サポートセンターを開設します / 江藤新平の復権に向け、「志」を今こそ、一つに / 今年の夏も Grand Blue 2025 からはじめよう","健康づくり|スポーツピラミッド|外国人材雇用支援|文化観光"
policy_brief,教育長定例会見（令和7年6月11日）,https://www.pref.saga.lg.jp/kyouiku/kiji003114399/index.html,2025-06-11,"教育DX、教職体験、産業教育、高校魅力化などを発表","発表項目: 教育DXで学びを支える環境づくり / 大学生教職体験プログラム / 全国産業教育フェア佐賀大会 / 神埼清明高校 未来志向の学びの学校 / 牛津高等学校 家庭科単独の専門高校 / 対面やオンラインによる高校進学説明会 / 県立盲学校教諭を海外協力隊として派遣","教育DX|教職体験|産業教育フェア|高校魅力化|進学説明会"
governor_press,令和7年7月15日 知事定例記者会見,https://www.pref.saga.lg.jp/chiji/kiji003114683/index.html,2025-07-15,"危機管理、恋愛プロジェクト、空港路線、フェムケアを発表","発表項目: 佐賀県の危機管理 救える命を救いたい / さが本恋プロジェクト 始動 / 九州佐賀国際空港から 台北・ソウル・上海を楽しむ旅へ / フェムケアSAGA 誰もが働きやすい職場へ","危機管理|本恋プロジェクト|国際空港路線|フェムケア"
