url,department_name,source_type
https://www.pref.saga.lg.jp/list00022.html,文化課,press_release
https://www.pref.saga.lg.jp/list00066.html,観光課,press_release
https://www.pref.saga.lg.jp/list00013.html,県民協働課,press_release
https://www.pref.saga.lg.jp/list00023.html,まなび課,press_release
https://www.pref.saga.lg.jp/list00014.html,人権・同和対策課,press_release
https://www.pref.saga.lg.jp/list00016.html,くらしの安全安心課,press_release
https://www.pref.saga.lg.jp/list00017.html,脱炭素社会推進課,press_release
https://www.pref.saga.lg.jp/list00018.html,原子力安全対策課,press_release
https://www.pref.saga.lg.jp/list00019.html,有明海再生・環境課,press_release
https://www.pref.saga.lg.jp/list00020.html,循環型社会推進課,press_release
https://www.pref.saga.lg.jp/list00032.html,社会福祉課,press_release
https://www.pref.saga.lg.jp/list00034.html,長寿社会課,press_release
https://www.pref.saga.lg.jp/list00035.html,障害福祉課,press_release
https://www.pref.saga.lg.jp/list00036.html,医務課,press_release
https://www.pref.saga.lg.jp/list00037.html,国民健康保険課,press_release
https://www.pref.saga.lg.jp/list00038.html,健康福祉政策課,press_release
https://www.pref.saga.lg.jp/list00039.html,薬務課,press_release
https://www.pref.saga.lg.jp/list00040.html,生活衛生課,press_release
https://www.pref.saga.lg.jp/list00162.html,男女参画・女性の活躍推進課,press_release
https://www.pref.saga.lg.jp/list00015.html,こども未来課,press_release
https://www.pref.saga.lg.jp/list00033.html,こども家庭課,press_release
https://www.pref.saga.lg.jp/list00056.html,産業政策課,press_release
https://www.pref.saga.lg.jp/list00057.html,ものづくり産業課,press_release
https://www.pref.saga.lg.jp/list00058.html,企業立地課,press_release
https://www.pref.saga.lg.jp/list00059.html,産業人材課,press_release
https://www.pref.saga.lg.jp/list00060.html,流通・貿易課,press_release
https://www.pref.saga.lg.jp/list00061.html,経営支援課,press_release
https://www.pref.saga.lg.jp/list00163.html,農政企画課,press_release
https://www.pref.saga.lg.jp/list00068.html,生産者支援課,press_release
https://www.pref.saga.lg.jp/list00069.html,農業経営課,press_release
https://www.pref.saga.lg.jp/list00070.html,園芸農産課,press_release
https://www.pref.saga.lg.jp/list00071.html,畜産課,press_release
https://www.pref.saga.lg.jp/list00111.html,農山村課,press_release
https://www.pref.saga.lg.jp/list00112.html,農地整備課,press_release
https://www.pref.saga.lg.jp/list00073.html,林業課,press_release
https://www.pref.saga.lg.jp/list00115.html,森林整備課,press_release
https://www.pref.saga.lg.jp/list00072.html,水産課,press_release
https://www.pref.saga.lg.jp/list00105.html,県土企画課,press_release
https://www.pref.saga.lg.jp/list00106.html,建設・技術課,press_release
https://www.pref.saga.lg.jp/list00118.html,道路課,press_release
https://www.pref.saga.lg.jp/list00108.html,土地利活用課,press_release
https://www.pref.saga.lg.jp/list00109.html,まちづくり課,press_release
https://www.pref.saga.lg.jp/list00110.html,下水道課,press_release
https://www.pref.saga.lg.jp/list00113.html,建築住宅課,press_release
https://www.pref.saga.lg.jp/list00114.html,河川砂防課,press_release
https://www.pref.saga.lg.jp/list00152.html,教育総務課,press_release
https://www.pref.saga.lg.jp/list00156.html,教育振興課,press_release
https://www.pref.saga.lg.jp/list00155.html,教職員課,press_release
https://www.pref.saga.lg.jp/list00158.html,学校教育課,press_release
https://www.pref.saga.lg.jp/list00164.html,保健体育課,press_release
