ID,タイトル,要約,抽出された部署,抽出された担当者,予算,申込締切,提出締切,掲載日,URL
74,令和8年度佐賀県伝承芸能保存活用事業次世代継承のためのマニュアル制作業務委託に係る公募型プロポーザルを実施します,佐賀の「宝」である伝承芸能を将来にわたり継承していくため、伝承芸能団体が芸能を 記録作成する際の指針となるマニュアル(手引き)を制作することを目的として、「令和8 年度佐賀県伝承芸能保存活用事業次世代継承のためのマニュアル制作業務」を実施する。 事業実施に当たり、効果的に事業展開を図る優れた事業者を募集するため、本プロポー ザルを行うものである。,佐賀県 文化・観光局 文化課 [担当]佐賀復権推進チーム,,200円,2026-04-08,,2026-03-18,https://www.pref.saga.lg.jp/kiji003118632/index.html
179,令和8年度佐賀県伝承芸能保存活用事業情報発信・映像記録制作業務委託に係る企画コンペを実施します,﻿,佐賀県 文化・観光局 文化課 [担当]佐賀復権推進チーム,,1000円,,,2026-02-09,https://www.pref.saga.lg.jp/kiji003117932/index.html
