ID,タイトル,要約,抽出された部署,抽出された担当者,予算,申込締切,提出締切,掲載日,URL
15,令和8年度県内企業訪問ツアー企画・運営業務に関する企画提案を募集します,﻿,佐賀県産業人材確保プロジェクト推進会議事務局,,10000円,2026-04-09,,2026-03-27,https://www.pref.saga.lg.jp/kiji003118826/index.html
75,令和8年度「県内企業採用力強化支援事業」企画・運営業務に関する企画提案を募集します,カリキュラム(1例) 1 目に留まる求人票 の作成方法 採用活動の入口となる求 人票を改善し、求職者等 に県内企業を就職先の 候補として意識してもらう,佐賀県産業人材確保プロジェクト推進会議事務局,,10000円,2026-04-06,2026-04-09,2026-03-18,https://www.pref.saga.lg.jp/kiji003118683/index.html
