ID,タイトル,要約,抽出された部署,抽出された担当者,予算,申込締切,提出締切,掲載日,URL
163,【質問への回答】「SAGAガストロノミー会議」企画運営業務委託に係る企画プロポーザルに関する質問について,﻿,,,,,,2025-05-12,https://www.pref.saga.lg.jp/kiji003113107/index.html
40,排水ポンプ車定期点検業務に係る条件付1般競争入札を実施します,﻿,,,0円,,,2025-04-30,https://www.pref.saga.lg.jp/kiji003112982/index.html
41,【質問回答】佐賀県少年自然の家利用申請システム開発業務に係るプロポーザルの質問への回答を掲載します,﻿,,,,,,2025-04-24,https://www.pref.saga.lg.jp/kiji003112916/index.html
165,【結果】令和7年度「佐賀県の経済動向調査」業務委託に係る条件付1般競争入札の結果について,﻿,,,,,,2025-04-22,https://www.pref.saga.lg.jp/kiji003112879/index.html
167,令和7年度 住民とともに支える「地域共生社会さが」推進事業業務委託に係る企画コンペの結果をお知らせします,﻿,,,,,,2025-04-15,https://www.pref.saga.lg.jp/kiji003112788/index.html
168,令和7年度さがデジタルサポーター育成事業業務委託に係るプロポーザル審査結果をお知らせします,﻿,,,,,,2025-04-09,https://www.pref.saga.lg.jp/kiji003112752/index.html
162,全国都市緑化佐賀フェア(仮称)基本構想・基本計画トータルディレクション業務委託に係る公募型プロポーザルの結果をお知らせします,﻿,,,,,,2025-04-04,https://www.pref.saga.lg.jp/kiji003113073/index.html
166,【添付ファイルの差し換え及び説明書の1部修正】令和7年度国際理解キャンプ業務委託する業者を選定する企画コンペを実施します,﻿,,,,2025-05-01,,2025-04-01,https://www.pref.saga.lg.jp/kiji003112861/index.html
154,森林整備作業競争入札参加有資格者名簿を公表します,﻿,,,,2025-06-25,,2025-04-01,https://www.pref.saga.lg.jp/kiji00367695/index.html
44,佐賀県庁内情報システム最適化計画策定業務委託に係るプロポーザル審査結果をお知らせします,﻿,,,,,,2025-04-01,https://www.pref.saga.lg.jp/kiji003112661/index.html
26,建設関連業務に関する入札結果等公表要領(令和7年10年1日改正),﻿,,,2000000円,,,2025-04-01,https://www.pref.saga.lg.jp/kiji00325855/index.html
25,佐賀県建設工事条件付1般競争入札実施要領及び取扱基準(令和7年10月1日適用),﻿,,,10000円,,,2025-04-01,https://www.pref.saga.lg.jp/kiji00356268/index.html
24,建設工事の入札及び契約の過程並びに契約の内容に関する事項の公表要領(令和7年10月1日改正),﻿,,,4000000円,,,2025-04-01,https://www.pref.saga.lg.jp/kiji00325943/index.html
45,令和6年度 佐賀県造林補助金等申請システム導入業務委託に係る企画提案競技(プロポーザル方式)の結果をお知らせします,﻿,,,,,,2025-03-19,https://www.pref.saga.lg.jp/kiji003112420/index.html
43,「教育DXスタートアップ事業の展開及び普及促進業務」の企画コンペ結果について,﻿,,,,,,2025-03-19,https://www.pref.saga.lg.jp/kiji003112638/index.html
89,スポーツ医科学サポート機器1式調達業務の条件付1般競争入札を行います,﻿,,,,2025-01-22,,2025-01-10,https://www.pref.saga.lg.jp/kiji003111258/index.html
198,林道烏帽子岳線法面調査委託(法面変状調査)に係る企画提案競技(プロポーザル方式)の審査結果,﻿,,,,,,2024-09-20,https://www.pref.saga.lg.jp/kiji003109846/index.html
28,佐賀県建設工事等入札参加資格の審査等に関する規則の改正について(令和6年4月1日施行),﻿,,,,2024-04-01,,2024-04-01,https://www.pref.saga.lg.jp/kiji00325796/index.html
199,肥前鹿島駅エリア空間デザインプロデュース業務【第2期業務】委託に係る公募型プロポーザルの結果をお知らせします,﻿,,,,,,2024-02-21,https://www.pref.saga.lg.jp/kiji003101309/index.html
29,営繕工事における入札時積算数量書活用方式を試行しています(令和5年3月改定),○入札参加者に発注者の示す数量書 「入札時積算数量書」の活用を促す。 ○契約後、入札時積算数量書の積算 数量に疑義が生じた場合に、受発注 者間で協議し、必要に応じて数量を 訂正し、請負代金額を変更すること を契約事項とする。,,,,,,2023-03-31,https://www.pref.saga.lg.jp/kiji00379005/index.html
23,佐賀県建設工事等入札心得(令和7年10月1日1部改正),﻿,,,500000000円,,,2022-12-31,https://www.pref.saga.lg.jp/kiji00348611/index.html
31,佐賀県建設関連業務条件付1般競争入札実施要領(令和3(2021)年5月1日適用),﻿,,,,2021-05-01,,2021-05-01,https://www.pref.saga.lg.jp/kiji00325876/index.html
36,佐賀県庁舎等の維持管理業務の委託契約に係る入札参加資格停止等の措置要領の改正について(R7.6.1施行),﻿,,,,2025-05-13,,2020-10-01,https://www.pref.saga.lg.jp/kiji003113123/index.html
33,佐賀県建設工事低入札価格調査制度事務処理要領(令和2年4月1日から適用),低入札価格調査等対応マニュアル(以下「本マニュアル」という。)は、工事の品質確保 及び不良・不適格業者の排除等に資するため、佐賀県建設工事低入札価格調査制度事務処理 要領(以下「要領」という。)7に定める数値的判断による失格基準の適合の判断、要領9 に定める調査を実施する際の調査方法並びにその他要領に定める落札者の決定、苦情処理、 低入札価格調査等に係る情報の公表、契約後の取扱いの対応方法等を定めたものである。,,,,,,2020-04-01,https://www.pref.saga.lg.jp/kiji00325839/index.html
30,佐賀県建設関連業務委託低入札価格調査制度事務処理試行要領,低入札価格調査等対応マニュアル(以下「本マニュアル」という。)は、委託業務の品質 確保及び不良・不適格業者の排除等に資するため、佐賀県建設関連業務委託低入札価格調査 制度事務処理試行要領(以下「要領」という。)7に定める数値的判断による失格基準の適 合の判断、要領9に定める調査を実施する際の調査方法並びにその他要領に定める落札者の 決定、苦情処理、低入札価格調査等に係る情報の公表、契約後の取扱いの対応方法等を定め たものである。,,,,,,2020-04-01,https://www.pref.saga.lg.jp/kiji00325814/index.html
34,公共工事等の入札・契約業務に関する不当な情報提供要求等についての対応要領(平成28年4月1日施行),県発注の建設工事及び建設関連業務委託の入札・契約業務に関し、 職員 が県の内外から 受ける不当な情報提供要求及び働きかけへの対応 を定め、 入札・契約業務の公正性及び 透明性を図る。,,,,,,2018-11-13,https://www.pref.saga.lg.jp/kiji00325966/index.html
