ID,タイトル,要約,抽出された部署,抽出された担当者,予算,申込締切,提出締切,掲載日,URL
292,"話題の妄想グルメ漫画が動く! 『佐賀海苔主役祭り』のマンガ動画8作品を本日公開 ""佐賀海苔""役を人気声優・梶裕貴さんが熱演! 相手役・石川由依さんとの掛け合いに胸キュン!? 恋愛・異世界・バトル・SFなどストーリーごとの演じ分けにもご注目! 梶さん&石川さんが""佐賀海苔""を実食する試食会動画も同時公開",﻿,,,,,,2021-12-09,https://www.pref.saga.lg.jp/kiji00383943/index.html
293,佐賀県公立学校におけるいじめ認知方法の強化及び、令和2年度「児童生徒の問題行動・不登校等生徒指導上の諸課題に関する調査」に係る佐賀県の状況について,﻿,,,,,,2021-10-13,https://www.pref.saga.lg.jp/kiji00382843/index.html
296,第23回佐賀県GM21ミーティングを開催します,﻿,,,,,,2021-08-20,https://www.pref.saga.lg.jp/kiji00382080/index.html
297,令和3年度普通交付税等決定額(佐賀県市町分)をお知らせします,﻿,,,,,,2021-08-03,https://www.pref.saga.lg.jp/kiji00381712/index.html
298,個人情報を誤送信した事案が発生しました,﻿,,,,,,2021-07-30,https://www.pref.saga.lg.jp/kiji00381667/index.html
299,廃棄物の処理及び清掃に関する法律に基づき産業廃棄物の処理基準に違反した者に対し措置命令を行いました,﻿,,,,,,2021-07-01,https://www.pref.saga.lg.jp/kiji00381230/index.html
300,令和3年6月定例県議会に議案を追加提出します,﻿,,,,,,2021-06-23,https://www.pref.saga.lg.jp/kiji00381040/index.html
295,令和3年度全国学力・学習状況調査における佐賀県の結果についてお知らせします,﻿,,,,,,2021-05-27,https://www.pref.saga.lg.jp/kiji00369941/index.html
302,令和3年5月臨時県議会に議案を追加提出します,﻿,,,,,,2021-05-24,https://www.pref.saga.lg.jp/kiji00380533/index.html
303,令和3年5月臨時県議会に議案を提出します,﻿,,,,,,2021-05-19,https://www.pref.saga.lg.jp/kiji00380428/index.html
304,第22回佐賀県GM21ミーティングを開催します,﻿,,,,,,2021-04-15,https://www.pref.saga.lg.jp/kiji00380081/index.html
307,佐賀飯の美味しさを徹底追求した”最強の佐賀飯アニメ”の制作に挑戦!つい小腹が空いてしまう深夜23時に投下される超短尺の食アニメ 「23時の佐賀飯アニメ」制作決定! 宮野真守さんが“佐賀飯声優”に!,﻿,,,,,,2021-02-09,https://www.pref.saga.lg.jp/kiji00379023/index.html
306,「23時の佐賀飯アニメ」本日公開開始!10日間連続・深夜23時のタイムラインに投下! 宮野真守さんご出演!アニメ予告編や佐賀飯エンタメ動画にもご注目!,﻿,,,,,,2021-02-09,https://www.pref.saga.lg.jp/kiji00379136/index.html
288,佐賀県と「かいけつゾロリ」とのコラボWEBストーリー 『かいけつゾロリの さがさいこー大さくせん』で登場した「佐賀体験ゆうえんち」が東京・浅草に出現! ゾロリプロデュース「さがやしき」が期間限定オープン! 地方自治体と初コラボの『浅草花やしき』をゾロリ×佐賀県でジャック! ゾロリ考案の「さがぎゅうバーガー」や「のりコプター」も!,﻿,,,,,,2020-04-05,https://www.pref.saga.lg.jp/kiji00384967/index.html
127,交通アクセス,﻿,,,,,,2019-02-26,https://www.pref.saga.lg.jp/kiji00347052/index.html
121,サイトポリシー,﻿,,,,,,2018-03-22,https://www.pref.saga.lg.jp/kiji00348029/index.html
126,リンク集,﻿,,,,,,2016-07-27,https://www.pref.saga.lg.jp/kiji0034844/index.html
125,携帯(ガラケー)サイト,﻿,,,,,,2016-06-30,https://www.pref.saga.lg.jp/kiji00348009/index.html
124,佐賀県情報セキュリティ基本方針,「佐賀県情報セキュリティ基本方針(以下「基本方針」という。)」は、県における情報セキ ュリティ対策の基本的な考え方及び方策を定め、県が保有する情報資産の機密性、完全性及び 可用性を維持することを目的とする。,,,,,,2010-01-12,https://www.pref.saga.lg.jp/kiji00319190/index.html
305,「23時の佐賀飯アニメ」コンプリート! 最終夜に「宮野真守増し増し篇」も公開! 宮野さんのアニメを見たリアクションやアフレコシーンを含むWEB動画『「23時の佐賀飯アニメ」完全版最速鑑賞会』も2月24日(水曜日)深夜公開!,﻿,,,,,,1983-06-08,https://www.pref.saga.lg.jp/kiji00379240/index.html
