ID,タイトル,要約,抽出された部署,抽出された担当者,予算,申込締切,提出締切,掲載日,URL
72,令和8年度(2026年度)CSOつながり支援事業委託業務に係るプロポーザルの審査結果をお知らせします。,﻿,佐賀県県民環境部 県民協働課 協働社会推進担当,,,,,2026-03-12,https://www.pref.saga.lg.jp/kiji003118620/index.html
71,令和8年度(2026年度)CSOマネジメントアカデミー事業委託業務に係るプロポーザルの審査結果をお知らせします。,﻿,佐賀県県民環境部 県民協働課 協働社会推進担当,,,,,2026-03-12,https://www.pref.saga.lg.jp/kiji003118641/index.html
133,CSOつながり支援事業委託業務に係るプロポーザルを実施します,この仕様書は、佐賀県(以下「甲」という。)が委託業者(以下「乙」という。)に委託する、令和8年度,佐賀県 県民環境部 県民協働課 協働社会推進担当,丸田、野上,2233000円,,,2026-02-13,https://www.pref.saga.lg.jp/kiji003117924/index.html
