source_url,department_name,source_type,link_match_mode,max_pages,pages_fetched,fetch_failed,all_kiji_links,keyword_matched_links,keyword_filtered_out,matched_in_crawled_log,matched_in_db,matched_with_appearance,matched_with_contact,matched_with_person_name,db_save_rate,person_name_rate,missing_titles_sample,saved_but_no_person_sample
https://www.pref.saga.lg.jp/list03583.html,共通,proposal,strict,1,1,0,43,25,18,24,22,13,5,4,88.0%,18.2%,SAGAハイスクールプロモーション業務委託契約の企画提案競技(企画コンペ方式)を行います。 | 令和8年度県内高校入学者受け入れのための生活環境整備・見守り業務委託契約の企画提案競技(プロポーザル方式)を行います。 | デジタル採点支援システムライセンスの調達等の契約に係る一般競争入札を実施します,佐賀県地域公共交通計画(案)策定業務に関する公募型プロポーザルの参加者を募集します。 | 令和8年度吉野ヶ里歴史公園地域連携推進事業(プロモーション等)業務委託に 関する公募型プロポーザルの審査結果について | 令和8年度さがデジタルサポーター育成事業業務委託に関するプロポーザルへの質問に対する回答について
https://www.pref.saga.lg.jp/list00693.html,記者発表,press_release,,1,1,0,25,25,0,25,25,19,14,12,100.0%,48.0%,,さがデザイン | 県政へのご意見 | もっと見る
https://www.pref.saga.lg.jp/list00006.html,秘書課,proposal,broad,1,1,0,43,0,43,0,0,0,0,0,,,,
https://www.pref.saga.lg.jp/list00004.html,広報広聴課,proposal,broad,1,1,0,43,5,38,2,4,3,2,1,80.0%,25.0%,令和8年度佐賀県ホームページへの有料バナー広告掲載に係る条件付一般競争入札を行います,福岡県向けルート・グランブルーの情報発信事業業務委託に係る企画競争の結果をお知らせします | 令和8年度(2026年度)佐賀県の情報発信業務に係るプロポーザルを実施します | 福岡都市圏における佐賀県ブランドイメージ等調査・集計業務委託に係る企画競争の結果をお知らせします
https://www.pref.saga.lg.jp/list00009.html,危機管理防災課,proposal,broad,1,1,0,42,10,32,7,3,3,1,2,30.0%,66.7%,佐賀県オフサイトセンター清掃業務委託の契約内容及び相手方の決定方法を公表します(地方自治法施行令第167条の2第1項第3号による随意契約) | 令和8年度 オフサイトセンター電気設備等定期点検及び保守業務委託に係る条件付一般競争入札(事後審査型)を行います。 | 08危防委第1号 防災行政通信ネットワークシステム定期点検及び保守業務委託の条件付一般競争入札(事後審査型)を行います。,【危機管理防災課】令和7年度原子力防災活動資機材(サーベイメータ)点検・校正業務に係る条件付1般競争入札を実施します。
https://www.pref.saga.lg.jp/list00161.html,報道課,proposal,broad,1,1,0,43,0,43,0,0,0,0,0,,,,
https://www.pref.saga.lg.jp/list00136.html,統計分析課,proposal,broad,1,1,0,43,1,42,0,0,0,0,0,0.0%,,令和8年度 統計の日(10月18日)の標語募集!,
https://www.pref.saga.lg.jp/list00130.html,法務私学課,proposal,broad,1,1,0,43,1,42,0,0,0,0,0,0.0%,,行政機関等匿名加工情報の提案募集,
https://www.pref.saga.lg.jp/list00132.html,人事課,proposal,broad,1,1,0,43,4,39,0,0,0,0,0,0.0%,,佐賀県職員(獣医師)を募集します | 佐賀県職員(物理)を募集します【通年募集】 | 佐賀県職員(獣医師)を募集します,
https://www.pref.saga.lg.jp/list00133.html,財政課,proposal,broad,1,1,0,43,1,42,0,0,0,0,0,0.0%,,全国型市場公募地方債を発行します,
https://www.pref.saga.lg.jp/list00134.html,税政課,proposal,broad,1,1,0,43,1,42,0,0,0,0,0,0.0%,,プロジェクト応援寄附・寄附募集プロジェクト一覧,
https://www.pref.saga.lg.jp/list00131.html,資産活用課,proposal,broad,1,1,0,43,13,30,1,8,7,6,0,61.5%,0.0%,佐賀県庁舎等維持管理業務委託最低制限価格制度事務処理要領の1部改正について(R8.4.1施行) | 令和8年度(令和8年4月1日から令和9年3月31日)の県庁舎への広告掲載を募集します | 公募情報【支援自販機】,令和6年度~令和8年度 庁舎等の維持管理業務の委託に関する競争入札参加資格者名簿 | 令和8年1月県有地一般競争入札の結果について | 令和4年9月県有地一般競争入札の結果について
https://www.pref.saga.lg.jp/list00007.html,行政デジタル推進課,proposal,broad,1,1,0,39,12,27,11,11,6,1,2,91.7%,18.2%,DXスキル向上につながる学びを支える土台・人づくりに係る業務委託,「佐賀県職員・給与システム等基本構想策定業務委託」に係る総合評価一般競争入札への質問に対する回答について | 令和8年度さがデジタルサポーター育成事業業務委託に関するプロポーザルへの質問に対する回答について | ノーコードツール(kintone)調達に係る一般競争入札を実施します
https://www.pref.saga.lg.jp/list00135.html,市町支援課,proposal,broad,1,1,0,43,0,43,0,0,0,0,0,,,,
https://www.pref.saga.lg.jp/list00010.html,さが 創生推進課,proposal,broad,1,1,0,43,11,32,4,9,4,4,0,81.8%,0.0%,佐賀日めくりカレンダー2027に使用するイラスト・佐賀にまつわるひとこと自慢の募集を予定しています。 | さがすき推進事業(日めくりカレンダー作成及び普及)業務委託の委託先を決定しました,令和8年度「地域主体の持続可能なスローツーリズムの仕掛けづくり」事業の委託に係る公募型プロポーザルを実施します | 佐賀さいこう!企画アカデミア企画・運営業務委託に係る企画コンペを実施します | SAGAローカリストアカデミー企画・運営業務委託に係る企画コンペを実施します
https://www.pref.saga.lg.jp/list06305.html,多文化共生さが推進課,proposal,broad,1,1,0,43,2,41,0,0,0,0,0,0.0%,,フィンランド式ワークショップ「住みたいまち、つくっちゃう?」に参加する県内高校生・大学生を募集します | 2025 SPIRA さが国際フェスタ内企画「Mission in 国際フェスタ -多文化共生への“とびら”をひらこう-」の参加者を募集します,
https://www.pref.saga.lg.jp/list00116.html,空港課,proposal,broad,1,1,0,43,0,43,0,0,0,0,0,,,,
